Location,sa3_code,Building Approvals - Value of total building ($M) 2016,Building Approvals - Value of private sector houses ($m) 2016,Estimated Resident Population - Persons - Total (2015),Population density (ERP at 30 June) (persons/km2) 2015, Total number of businesses  (2015),Total employed by Industry (no.) Census (2011),Estimates of Personal Income - Median employee income ($) 2013,Persons with Post School Qualifications - With Bachelor Degree (%) Census (2011),Access to Internet at Home - Proportion of all occupied private dwellings (%) Census (2011),Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%) Census 2011,Method of Travel to Work - Used one method - Train or tram (no.) 2011,Method of Travel to Work - Used one method - Bus (no.) 2011,Method of Travel to Work - Used one method - Car (as driver or passenger) (no.) 2011,Method of Travel to Work - Used one method - Walked only (no.) 2011
Darebin - North,20902,425,79,126232,2451,7149,58671,50057,18.5,77.3,0.5,4798,818,37550,1476
Nillumbik - Kinglake,20903,129,96,96676,88.5,6712,37788,46527,14.4,66.1,1,4478,575,22596,806
Whittlesea - Wallan,20904,1014,620,66526,211.1,12698,34802,50556,16.6,86.3,0.4,1441,173,24461,448
Keilor,21001,365,114,210573,1426,6243,77354,49718,9.9,74.5,0.7,3179,695,57652,683
Macedon Ranges,21002,93,72,60502,29.3,2785,25845,47496,13.9,71.2,0.2,1119,194,18344,351
Moreland - North,21003,307,117,29061,2516.8,4857,13469,49480,13,81.3,0.5,440,34,9442,214
Sunbury,21004,111,83,76457,150,2403,27940,44803,12.3,65.4,0.5,3355,207,17667,431
Tullamarine - Broadmeadows,21005,945,502,39111,533.3,10724,18869,47412,9,80,0.8,851,95,13748,252
Knox,21101,379,173,156834,1317.2,12856,53030,48525,8.2,73.3,0.6,2398,454,39556,507
Manningham - East,21102,80,55,155719,400,3225,77612,48481,13.3,81.1,0.4,2246,749,57785,931
Maroondah,21103,354,153,26625,1828.1,8812,13233,49605,20,85.9,0.2,280,261,9396,152
Whitehorse - East,21104,198,94,111858,2342.3,5206,52758,45389,14.2,79.7,0.4,2719,415,37022,694
Yarra Ranges,21105,298,219,62232,93.3,12952,27789,45999,19.7,79,0.2,2153,348,18066,465
Cardinia,21201,554,388,149800,71.1,6959,73199,46105,10.6,79.2,0.7,1819,422,52512,1180
Casey - North,21202,452,172,91073,1133.3,9703,36333,46344,8.5,77.8,0.6,889,132,26893,621
Casey - South,21203,976,777,132001,546.9,7632,58661,41590,10.8,79.4,0.5,1917,481,44600,464
Dandenong,21204,756,219,160210,1246.3,15881,60877,47320,8.6,79.7,0.6,2047,462,46545,513
Monash,21205,980,392,188317,2257.3,18391,69859,43658,10.5,68.5,0.3,3937,1440,50057,1101
Brimbank,21301,389,108,179431,1785.3,10953,74875,53187,20.4,78.7,0.2,5496,1382,48968,1715
Hobsons Bay,21302,294,105,190763,1388.1,6303,72289,48846,10.2,67.5,0.4,5139,724,51400,740
